"File","Lines","LastWriteTime"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\api\eai.py","573","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\app\main.py","5","7/31/2025 3:22:18 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\core\caf_clean.py","558","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\core\caf_integration.js","48","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\core\caf.py","871","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\core\spe.py","232","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\core\tpai.py","687","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\examples\caf_definition_demo.py","88","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\examples\caf_programming_paradigms_demo.py","176","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\examples\collaborative_learning_demo.py","227","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\examples\common_sense_integration_demo.py","221","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\examples\htm_rfm_integration_demo.py","181","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\examples\sie_ldm_socratic_demo.py","251","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\examples\wms_ldm_integration_demo.py","155","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\learning\htm.py","534","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\learning\lrs_integration.js","591","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\learning\lrs.py","757","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\learning\pdm.py","715","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\learning\rfm.py","595","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\learning\sie.py","545","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\memory\ieb.py","246","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\memory\ldm.py","534","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\memory\wms.py","344","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\backend\base_module.py","89","7/26/2025 6:09:44 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\api\eai.py","573","7/4/2025 8:06:50 PM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\core\caf_clean.py","558","7/4/2025 9:58:48 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\core\caf_integration.js","48","7/4/2025 8:06:50 PM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\core\caf.py","871","7/12/2025 7:55:46 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\core\spe.py","232","7/4/2025 9:18:42 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\core\tpai.py","687","7/4/2025 1:29:16 PM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\examples\caf_definition_demo.py","88","7/4/2025 1:30:00 PM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\examples\caf_programming_paradigms_demo.py","176","7/4/2025 1:30:04 PM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\examples\collaborative_learning_demo.py","227","7/4/2025 1:29:16 PM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\examples\common_sense_integration_demo.py","221","7/12/2025 6:36:28 AM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\examples\htm_rfm_integration_demo.py","181","7/4/2025 1:29:00 PM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\examples\sie_ldm_socratic_demo.py","251","7/4/2025 1:29:16 PM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\examples\wms_ldm_integration_demo.py","155","7/4/2025 1:29:16 PM"
"H:\DK Softworks LLC Application Projects\DK_SOFTWORKS_LLC\IX-TECH\CHRYSALIX\backend\learning\htm.py","534","7/4/2025 1:29:16 PM"
